id,created_at,lng,lat,photos_count,checkins_count,users_count,radius_meters,highlights_count,items_count,max_items_count,spot_categories,distance_to_center
12880,2009-05-10T15:12:32Z,13.3761119833,52.5186502833,58,582,484,150,4,10,10,"[{'url': '/categories/218', 'name': 'Government'}]",1.7199784647043064
12901,2009-05-10T18:51:59Z,13.36903095,52.5102174167,5,74,62,75,0,4,10,"[{'url': '/categories/31', 'name': 'Performing Arts'}]",2.4095588328944872
12904,2009-05-10T19:08:09Z,13.3775711,52.5162041167,120,1064,813,250,16,10,10,"[{'url': '/categories/166', 'name': 'Historic Landmark'}]",1.6519517331399172
12972,2009-05-11T12:17:32Z,13.2504129333,52.5083613333,0,17,13,75,0,0,10,"[{'url': '/categories/60', 'name': 'Other - Architecture'}]",10.29483800308479
12974,2009-05-11T13:38:36Z,13.3929133333,52.5136184667,2,67,42,75,0,4,10,"[{'url': '/categories/63', 'name': 'Monument'}]",0.841814350516801
12976,2009-05-11T13:43:50Z,13.3926129333,52.5139403333,4,102,74,100,0,7,10,"[{'url': '/categories/22', 'name': 'Historic Church'}]",0.8309778313396898
12977,2009-05-11T13:56:16Z,13.3905422688,52.507105586,37,524,416,75,7,10,10,"[{'url': '/categories/166', 'name': 'Historic Landmark'}]",1.5251478916975234
12978,2009-05-11T14:26:33Z,13.3935356,52.5174701167,9,131,109,300,3,6,10,"[{'url': '/categories/134', 'name': 'University'}]",0.5694022590675442
12996,2009-05-11T19:49:20Z,13.2126259667,52.5399041167,0,14,11,75,0,1,10,"[{'url': '/categories/60', 'name': 'Other - Architecture'}]",12.986051048540093
13079,2009-05-13T13:35:32Z,13.3968937397,52.5176506679,2,88,74,100,0,3,10,"[{'url': '/categories/73', 'name': 'History Museum'}]",0.35138189063906594
28098,2009-09-24T14:30:14Z,13.3806483833,52.5289183833,0,31,22,100,0,4,10,"[{'url': '/categories/68', 'name': 'Contemporary Church'}]",1.7861016969362113
28669,2009-09-25T12:41:22Z,13.3534455,52.4891244,0,29,20,75,0,1,10,"[{'url': '/categories/1', 'name': 'Coffee Shop'}]",4.656895588385913
34329,2009-10-02T14:56:15Z,13.4097576141,52.5210323935,56,501,405,150,6,10,10,"[{'url': '/categories/146', 'name': 'Tower'}]",0.5978614385059291
36602,2009-10-04T15:01:02Z,13.4015393257,52.529681376,26,573,335,75,5,10,10,"[{'url': '/categories/1', 'name': 'Coffee Shop'}]",1.1783970531104264
44339,2009-10-11T19:35:59Z,13.3892440796,52.4999739789,1,130,13,100,0,2,10,"[{'url': '/categories/20', 'name': 'Apartment'}]",2.281603872156173
44985,2009-10-12T08:10:11Z,13.4492182732,52.5040493246,0,77,10,50,0,1,10,"[{'url': '/categories/121', 'name': 'Corporate Office'}]",3.634998164133174
45035,2009-10-12T11:09:14Z,13.3976662159,52.4889869506,87,352,23,50,0,4,10,"[{'url': '/categories/121', 'name': 'Corporate Office'}]",3.356778212097082
45045,2009-10-12T11:44:03Z,13.3876669407,52.4935728337,0,24,21,75,0,1,10,"[{'url': '/categories/186', 'name': 'Bank & Financial'}]",2.98766843894489
45065,2009-10-12T12:01:13Z,13.3887430623,52.4897203864,1,23,17,50,0,2,10,"[{'url': '/categories/106', 'name': 'Grocery'}]",3.3776855178751313
45251,2009-10-12T16:25:07Z,13.4223775473,52.4765976645,0,11,6,75,0,1,10,"[{'url': '/categories/106', 'name': 'Grocery'}]",4.930684243519237
45264,2009-10-12T16:33:53Z,13.4219563007,52.4756381341,0,40,5,50,0,1,10,"[{'url': '/categories/20', 'name': 'Apartment'}]",5.02508440328142
46115,2009-10-13T08:40:43Z,13.2938684833,52.5366535667,0,168,44,75,0,5,10,"[{'url': '/categories/164', 'name': 'Subway'}]",7.540078948007176
46120,2009-10-13T08:52:06Z,13.2863330841,52.5576728143,56,2734,1188,1500,6,10,10,"[{'url': '/categories/45', 'name': 'Airport'}]",8.894002492762567
46133,2009-10-13T10:06:05Z,13.3896839619,52.509071146,0,38,21,50,0,2,10,"[{'url': '/categories/121', 'name': 'Corporate Office'}]",1.371602642653035
46149,2009-10-13T11:06:46Z,13.4315346192,52.5046387066,0,111,14,75,0,3,10,"[{'url': '/categories/121', 'name': 'Corporate Office'}]",2.589410750667349
46155,2009-10-13T11:30:50Z,13.3940732887,52.488983177,9,33,14,75,0,2,10,"[{'url': '/categories/18', 'name': 'Asian'}]",3.3847962058489784
46157,2009-10-13T11:32:09Z,13.4424310667,52.5014789333,0,100,60,75,0,5,10,"[{'url': '/categories/154', 'name': 'Burgers'}]",3.390698713671655
46169,2009-10-13T11:49:53Z,13.3936481269,52.5080765209,0,19,13,75,0,1,10,"[{'url': '/categories/19', 'name': 'Italian'}]",1.3349064001146225
47181,2009-10-14T08:50:38Z,13.3875829551,52.522071397,1,33,24,75,0,2,10,"[{'url': '/categories/121', 'name': 'Corporate Office'}]",0.9999138526394935
47187,2009-10-14T09:08:32Z,13.3987120958,52.4901186812,0,14,11,75,0,2,10,"[{'url': '/categories/25', 'name': 'Dancefloor'}]",3.226385203917666
47254,2009-10-14T11:47:42Z,13.4340134407,52.5003511116,0,25,16,75,0,1,10,"[{'url': '/categories/64', 'name': 'Other - Food '}]",3.0288491222228244
47255,2009-10-14T11:50:17Z,13.3853924274,52.5212478228,7,86,69,50,0,5,10,"[{'url': '/categories/64', 'name': 'Other - Food '}]",1.117549134012165
47532,2009-10-14T17:11:41Z,13.3926390777,52.5277558838,0,39,27,75,0,3,10,"[{'url': '/categories/121', 'name': 'Corporate Office'}]",1.1362383771691547
47548,2009-10-14T17:23:59Z,13.4260332584,52.4773371805,0,20,8,50,0,1,10,"[{'url': '/categories/83', 'name': 'Middle Eastern'}]",4.929646214031379
47701,2009-10-14T19:20:33Z,13.4070524109,52.5228108224,0,50,35,50,0,5,10,"[{'url': '/categories/167', 'name': 'Brewery / Microbrewery'}]",0.5583506153590613
47732,2009-10-14T19:44:20Z,13.4090576731,52.5282963567,0,22,21,75,0,1,10,"[{'url': '/categories/26', 'name': 'Ultra-lounge'}]",1.144240643943783
47752,2009-10-14T19:59:13Z,13.3694279194,52.524994818,129,3102,1163,250,10,10,10,"[{'url': '/categories/95', 'name': 'Train Station'}]",2.2687013432684835
48343,2009-10-15T06:00:03Z,13.4276310745,52.5043454232,1,13,9,75,0,1,10,"[{'url': '/categories/47', 'name': 'Modern Hotel'}]",2.4099013861328946
48356,2009-10-15T07:22:44Z,13.3944368362,52.4892809318,32,240,47,300,0,4,10,"[{'url': '/categories/11', 'name': 'Mall'}]",3.348447480224579
48413,2009-10-15T10:13:24Z,13.3891153336,52.4988832374,0,21,17,50,0,1,10,"[{'url': '/categories/121', 'name': 'Corporate Office'}]",2.398007514652888
48419,2009-10-15T10:22:46Z,13.3905422688,52.4961725948,0,18,12,75,0,2,10,"[{'url': '/categories/186', 'name': 'Bank & Financial'}]",2.6537761060383267
48421,2009-10-15T10:30:08Z,13.3886003494,52.4997584453,0,34,30,50,0,1,10,"[{'url': '/categories/121', 'name': 'Corporate Office'}]",2.3200096387342546
48441,2009-10-15T11:05:20Z,13.3935678005,52.4890261482,4,51,29,50,1,5,10,"[{'url': '/categories/1', 'name': 'Coffee Shop'}]",3.38534377853383
