userid1,userid2,user_pair
2097472,26825,"(26825, 2097472)"
2097472,203667,"(203667, 2097472)"
2097472,76911,"(76911, 2097472)"
414,325332,"(414, 325332)"
414,78118,"(414, 78118)"
414,18730,"(414, 18730)"
414,319801,"(414, 319801)"
414,451,"(414, 451)"
414,80729,"(414, 80729)"
414,110176,"(414, 110176)"
451,243692,"(451, 243692)"
451,5301,"(451, 5301)"
451,61998,"(451, 61998)"
451,18730,"(451, 18730)"
451,153148,"(451, 153148)"
451,108582,"(451, 108582)"
674,2017799,"(674, 2017799)"
674,23563,"(674, 23563)"
674,8205,"(674, 8205)"
674,140815,"(674, 140815)"
674,3089,"(674, 3089)"
674,8221,"(674, 8221)"
674,14370,"(674, 14370)"
674,10279,"(674, 10279)"
674,7727,"(674, 7727)"
674,11314,"(674, 11314)"
674,10803,"(674, 10803)"
674,8756,"(674, 8756)"
674,19535,"(674, 19535)"
674,795237,"(674, 795237)"
674,24176,"(674, 24176)"
674,12914,"(674, 12914)"
674,383485,"(674, 383485)"
674,27786,"(674, 27786)"
674,16525,"(674, 16525)"
674,674973,"(674, 674973)"
674,78510,"(674, 78510)"
674,840395,"(674, 840395)"
674,12180,"(674, 12180)"
674,28198,"(674, 28198)"
674,398058,"(674, 398058)"
674,34005,"(674, 34005)"
674,9986,"(674, 9986)"
674,77587,"(674, 77587)"
674,13085,"(674, 13085)"
674,14110,"(674, 14110)"
674,12586,"(674, 12586)"
674,237376,"(674, 237376)"
674,3907,"(674, 3907)"
674,14666,"(674, 14666)"
674,319801,"(674, 319801)"
674,68498,"(674, 68498)"
674,57721,"(674, 57721)"
674,29054,"(674, 29054)"
674,84866,"(674, 84866)"
674,25488,"(674, 25488)"
674,11156,"(674, 11156)"
674,57750,"(674, 57750)"
674,11695,"(674, 11695)"
674,9164,"(674, 9164)"
674,12237,"(674, 12237)"
674,103395,"(674, 103395)"
674,13294,"(674, 13294)"
674,104432,"(674, 104432)"
2098463,56552,"(56552, 2098463)"
1613,121561,"(1613, 121561)"
2593,129468,"(2593, 129468)"
2593,3908,"(2593, 3908)"
2886,12914,"(2886, 12914)"
2936,243689,"(2936, 243689)"
3005,205411,"(3005, 205411)"
3086,15364,"(3086, 15364)"
3086,16903,"(3086, 16903)"
3086,8204,"(3086, 8204)"
3086,8205,"(3086, 8205)"
3086,3089,"(3086, 3089)"
3086,3090,"(3086, 3090)"
3086,3616,"(3086, 3616)"
3086,102442,"(3086, 102442)"
3086,14380,"(3086, 14380)"
3086,8755,"(3086, 8755)"
3086,8756,"(3086, 8756)"
3086,8758,"(3086, 8758)"
3086,11327,"(3086, 11327)"
3086,8801,"(3086, 8801)"
3086,10854,"(3086, 10854)"
3086,14184,"(3086, 14184)"
3086,12914,"(3086, 12914)"
3086,12917,"(3086, 12917)"
3086,9065,"(3086, 9065)"
3086,26752,"(3086, 26752)"
3086,5769,"(3086, 5769)"
3086,27786,"(3086, 27786)"
3086,21644,"(3086, 21644)"
3086,8850,"(3086, 8850)"
3086,9381,"(3086, 9381)"
3086,9385,"(3086, 9385)"
3086,23214,"(3086, 23214)"
3086,20162,"(3086, 20162)"
3086,22725,"(3086, 22725)"
3086,44230,"(3086, 44230)"
3086,12496,"(3086, 12496)"
3086,22233,"(3086, 22233)"
3086,185090,"(3086, 185090)"
3086,22992,"(3086, 22992)"
3086,22760,"(3086, 22760)"
3086,14569,"(3086, 14569)"
3086,9963,"(3086, 9963)"
3086,17136,"(3086, 17136)"
3086,7954,"(3086, 7954)"
3086,11037,"(3086, 11037)"
3086,8480,"(3086, 8480)"
3086,13099,"(3086, 13099)"
3086,10803,"(3086, 10803)"
3086,3907,"(3086, 3907)"
3086,3908,"(3086, 3908)"
3086,11979,"(3086, 11979)"
3086,14663,"(3086, 14663)"
3086,13133,"(3086, 13133)"
3086,9044,"(3086, 9044)"
3086,9062,"(3086, 9062)"
3086,8552,"(3086, 8552)"
3086,279913,"(3086, 279913)"
3086,17258,"(3086, 17258)"
3086,16759,"(3086, 16759)"
3086,7552,"(3086, 7552)"
3086,12171,"(3086, 12171)"
3086,4493,"(3086, 4493)"
3086,4000,"(3086, 4000)"
3086,219046,"(3086, 219046)"
3086,255399,"(3086, 255399)"
3086,11691,"(3086, 11691)"
3086,19899,"(3086, 19899)"
3086,9150,"(3086, 9150)"
3086,12237,"(3086, 12237)"
3086,5072,"(3086, 5072)"
3086,9170,"(3086, 9170)"
3086,109543,"(3086, 109543)"
3088,4000,"(3088, 4000)"
3088,8801,"(3088, 8801)"
3088,9381,"(3088, 9381)"
3088,76390,"(3088, 76390)"
3088,9963,"(3088, 9963)"
3088,24754,"(3088, 24754)"
3088,7727,"(3088, 7727)"
3088,3089,"(3088, 3089)"
3088,3090,"(3088, 3090)"
3088,10803,"(3088, 10803)"
3088,4313,"(3088, 4313)"
3088,112709,"(3088, 112709)"
3089,87554,"(3089, 87554)"
3089,6147,"(3089, 6147)"
3089,16903,"(3089, 16903)"
3089,398058,"(3089, 398058)"
3089,23563,"(3089, 23563)"
3089,8204,"(3089, 8204)"
3089,8205,"(3089, 8205)"
3089,3090,"(3089, 3090)"
3089,813685,"(3089, 813685)"
3089,10785,"(3089, 10785)"
3089,14370,"(3089, 14370)"
3089,10279,"(3089, 10279)"
3089,26664,"(3089, 26664)"
3089,23082,"(3089, 23082)"
3089,57192,"(3089, 57192)"
3089,7727,"(3089, 7727)"
3089,31280,"(3089, 31280)"
3089,11314,"(3089, 11314)"
3089,8755,"(3089, 8755)"
3089,8756,"(3089, 8756)"
3089,8758,"(3089, 8758)"
3089,22072,"(3089, 22072)"
3089,17978,"(3089, 17978)"
3089,11327,"(3089, 11327)"
3089,112709,"(3089, 112709)"
3089,37153,"(3089, 37153)"
3089,19535,"(3089, 19535)"
3089,122450,"(3089, 122450)"
3089,30293,"(3089, 30293)"
3089,22102,"(3089, 22102)"
3089,181744,"(3089, 181744)"
3089,12892,"(3089, 12892)"
3089,8801,"(3089, 8801)"
3089,10854,"(3089, 10854)"
3089,12914,"(3089, 12914)"
3089,12917,"(3089, 12917)"
3089,91265,"(3089, 91265)"
3089,14472,"(3089, 14472)"
3089,27786,"(3089, 27786)"
3089,24204,"(3089, 24204)"
3089,8850,"(3089, 8850)"
3089,229523,"(3089, 229523)"
3089,24213,"(3089, 24213)"
3089,18583,"(3089, 18583)"
3089,55454,"(3089, 55454)"
3089,9381,"(3089, 9381)"
3089,11036,"(3089, 11036)"
3089,9385,"(3089, 9385)"
3089,61315,"(3089, 61315)"
3089,23214,"(3089, 23214)"
3089,23728,"(3089, 23728)"
3089,29374,"(3089, 29374)"
3089,20162,"(3089, 20162)"
3089,348363,"(3089, 348363)"
3089,58742,"(3089, 58742)"
3089,44230,"(3089, 44230)"
3089,11979,"(3089, 11979)"
3089,22732,"(3089, 22732)"
3089,9165,"(3089, 9165)"
3089,20180,"(3089, 20180)"
3089,1213142,"(3089, 1213142)"
3089,29400,"(3089, 29400)"
3089,22992,"(3089, 22992)"
3089,22760,"(3089, 22760)"
3089,9963,"(3089, 9963)"
3089,37612,"(3089, 37612)"
3089,70096,"(3089, 70096)"
3089,30846,"(3089, 30846)"
3089,17147,"(3089, 17147)"
3089,14591,"(3089, 14591)"
3089,7552,"(3089, 7552)"
3089,9986,"(3089, 9986)"
3089,20241,"(3089, 20241)"
3089,7954,"(3089, 7954)"
3089,21267,"(3089, 21267)"
3089,2051352,"(3089, 2051352)"
3089,16665,"(3089, 16665)"
3089,11037,"(3089, 11037)"
3089,8480,"(3089, 8480)"
3089,15152,"(3089, 15152)"
3089,213297,"(3089, 213297)"
3089,12586,"(3089, 12586)"
3089,13099,"(3089, 13099)"
3089,53041,"(3089, 53041)"
3089,10803,"(3089, 10803)"
3089,49466,"(3089, 49466)"
3089,143280,"(3089, 143280)"
3089,52540,"(3089, 52540)"
3089,237376,"(3089, 237376)"
3089,3907,"(3089, 3907)"
3089,3908,"(3089, 3908)"
3089,10567,"(3089, 10567)"
3089,25929,"(3089, 25929)"
3089,24906,"(3089, 24906)"
3089,13133,"(3089, 13133)"
3089,235342,"(3089, 235342)"
3089,16525,"(3089, 16525)"
3089,2123235,"(3089, 2123235)"
3089,9044,"(3089, 9044)"
3089,10590,"(3089, 10590)"
3089,9062,"(3089, 9062)"
3089,8552,"(3089, 8552)"
3089,10601,"(3089, 10601)"
3089,17258,"(3089, 17258)"
3089,109543,"(3089, 109543)"
3089,16754,"(3089, 16754)"
3089,18409,"(3089, 18409)"
3089,29054,"(3089, 29054)"
3089,44420,"(3089, 44420)"
3089,93573,"(3089, 93573)"
3089,12171,"(3089, 12171)"
3089,39822,"(3089, 39822)"
3089,73868,"(3089, 73868)"
3089,12180,"(3089, 12180)"
3089,57750,"(3089, 57750)"
3089,29597,"(3089, 29597)"
3089,4000,"(3089, 4000)"
3089,26530,"(3089, 26530)"
3089,11691,"(3089, 11691)"
3089,11695,"(3089, 11695)"
3089,30129,"(3089, 30129)"
3089,19899,"(3089, 19899)"
3089,129468,"(3089, 129468)"
3089,9150,"(3089, 9150)"
3089,57281,"(3089, 57281)"
3089,9164,"(3089, 9164)"
3089,12237,"(3089, 12237)"
3089,5072,"(3089, 5072)"
3089,9170,"(3089, 9170)"
3089,59868,"(3089, 59868)"
3089,2280415,"(3089, 2280415)"
3089,16358,"(3089, 16358)"
3089,5095,"(3089, 5095)"
3089,8681,"(3089, 8681)"
3089,23549,"(3089, 23549)"
3089,104432,"(3089, 104432)"
3090,6147,"(3090, 6147)"
3090,16903,"(3090, 16903)"
3090,8204,"(3090, 8204)"
3090,49698,"(3090, 49698)"
3090,66583,"(3090, 66583)"
3090,10785,"(3090, 10785)"
3090,14370,"(3090, 14370)"
3090,10279,"(3090, 10279)"
3090,31280,"(3090, 31280)"
3090,8755,"(3090, 8755)"
3090,8756,"(3090, 8756)"
3090,8758,"(3090, 8758)"
3090,17978,"(3090, 17978)"
3090,115771,"(3090, 115771)"
3090,2133552,"(3090, 2133552)"
3090,11327,"(3090, 11327)"
3090,112709,"(3090, 112709)"
3090,2267555,"(3090, 2267555)"
3090,2104975,"(3090, 2104975)"
3090,19535,"(3090, 19535)"
3090,122450,"(3090, 122450)"
3090,30293,"(3090, 30293)"
3090,348363,"(3090, 348363)"
3090,8801,"(3090, 8801)"
3090,10854,"(3090, 10854)"
3090,112744,"(3090, 112744)"
3090,12914,"(3090, 12914)"
3090,12917,"(3090, 12917)"
3090,347766,"(3090, 347766)"
3090,19075,"(3090, 19075)"
3090,85636,"(3090, 85636)"
3090,147589,"(3090, 147589)"
3090,27786,"(3090, 27786)"
3090,73868,"(3090, 73868)"
3090,63631,"(3090, 63631)"
3090,8850,"(3090, 8850)"
3090,18583,"(3090, 18583)"
3090,18588,"(3090, 18588)"
3090,55454,"(3090, 55454)"
3090,9381,"(3090, 9381)"
3090,9385,"(3090, 9385)"
3090,903751,"(3090, 903751)"
3090,23214,"(3090, 23214)"
3090,23728,"(3090, 23728)"
3090,29374,"(3090, 29374)"
3090,24261,"(3090, 24261)"
3090,37153,"(3090, 37153)"
3090,255399,"(3090, 255399)"
3090,2063833,"(3090, 2063833)"
3090,1213142,"(3090, 1213142)"
3090,69336,"(3090, 69336)"
3090,12001,"(3090, 12001)"
3090,22760,"(3090, 22760)"
3090,9963,"(3090, 9963)"
3090,37612,"(3090, 37612)"
3090,26664,"(3090, 26664)"
3090,74994,"(3090, 74994)"
3090,30846,"(3090, 30846)"
3090,17147,"(3090, 17147)"
3090,14591,"(3090, 14591)"
3090,1030914,"(3090, 1030914)"
3090,25974,"(3090, 25974)"
3090,20241,"(3090, 20241)"
3090,21267,"(3090, 21267)"
3090,11037,"(3090, 11037)"
3090,8480,"(3090, 8480)"
3090,213297,"(3090, 213297)"
3090,13099,"(3090, 13099)"
3090,15152,"(3090, 15152)"
3090,53041,"(3090, 53041)"
3090,10803,"(3090, 10803)"
3090,22992,"(3090, 22992)"
3090,28981,"(3090, 28981)"
3090,49466,"(3090, 49466)"
3090,17211,"(3090, 17211)"
3090,3907,"(3090, 3907)"
3090,229523,"(3090, 229523)"
3090,13366,"(3090, 13366)"
3090,2256587,"(3090, 2256587)"
3090,10567,"(3090, 10567)"
3090,13133,"(3090, 13133)"
3090,16525,"(3090, 16525)"
3090,39822,"(3090, 39822)"
3090,56634,"(3090, 56634)"
3090,10590,"(3090, 10590)"
3090,389947,"(3090, 389947)"
3090,9062,"(3090, 9062)"
3090,8552,"(3090, 8552)"
3090,109543,"(3090, 109543)"
3090,16754,"(3090, 16754)"
3090,18409,"(3090, 18409)"
3090,97144,"(3090, 97144)"
3090,279018,"(3090, 279018)"
3090,29054,"(3090, 29054)"
3090,7552,"(3090, 7552)"
3090,93573,"(3090, 93573)"
3090,55688,"(3090, 55688)"
3090,366231,"(3090, 366231)"
3090,12180,"(3090, 12180)"
3090,57750,"(3090, 57750)"
3090,29597,"(3090, 29597)"
3090,181744,"(3090, 181744)"
3090,26530,"(3090, 26530)"
3090,11691,"(3090, 11691)"
3090,26540,"(3090, 26540)"
3090,11695,"(3090, 11695)"
3090,15283,"(3090, 15283)"
3090,11701,"(3090, 11701)"
3090,15288,"(3090, 15288)"
3090,112057,"(3090, 112057)"
3090,19899,"(3090, 19899)"
3090,129468,"(3090, 129468)"
3090,9150,"(3090, 9150)"
3090,140227,"(3090, 140227)"
3090,65476,"(3090, 65476)"
3090,133064,"(3090, 133064)"
3090,2146119,"(3090, 2146119)"
3090,2262898,"(3090, 2262898)"
3090,5072,"(3090, 5072)"
3090,363473,"(3090, 363473)"
3090,9170,"(3090, 9170)"
3090,11751,"(3090, 11751)"
3090,8681,"(3090, 8681)"
3090,13294,"(3090, 13294)"
3090,23549,"(3090, 23549)"
3090,325545,"(3090, 325545)"
3507,18071,"(3507, 18071)"
3616,24832,"(3616, 24832)"
3616,16903,"(3616, 16903)"
3616,10272,"(3616, 10272)"
3616,15137,"(3616, 15137)"
3616,9657,"(3616, 9657)"
3616,129468,"(3616, 129468)"
3616,21693,"(3616, 21693)"
3616,25929,"(3616, 25929)"
3616,24530,"(3616, 24530)"
3616,8681,"(3616, 8681)"
3616,2121199,"(3616, 2121199)"
3616,33911,"(3616, 33911)"
3716,2211985,"(3716, 2211985)"
3716,319801,"(3716, 319801)"
3716,24906,"(3716, 24906)"
3716,8552,"(3716, 8552)"
3716,140227,"(3716, 140227)"
3716,58484,"(3716, 58484)"
3716,25958,"(3716, 25958)"
3716,116194,"(3716, 116194)"
3716,132623,"(3716, 132623)"
3716,173601,"(3716, 173601)"
3716,157413,"(3716, 157413)"
3716,100071,"(3716, 100071)"
3716,133080,"(3716, 133080)"
3716,26752,"(3716, 26752)"
3716,2017799,"(3716, 2017799)"
3716,134390,"(3716, 134390)"
3716,331180,"(3716, 331180)"
3716,11901,"(3716, 11901)"
3716,994976,"(3716, 994976)"
3716,12063,"(3716, 12063)"
3716,323367,"(3716, 323367)"
3716,3907,"(3716, 3907)"
3716,3908,"(3716, 3908)"
3716,3934,"(3716, 3934)"
3716,216952,"(3716, 216952)"
3716,12289,"(3716, 12289)"
3716,4313,"(3716, 4313)"
3716,29054,"(3716, 29054)"
3716,4493,"(3716, 4493)"
3716,4712,"(3716, 4712)"
3716,103018,"(3716, 103018)"
3716,12914,"(3716, 12914)"
3716,87554,"(3716, 87554)"
3716,6147,"(3716, 6147)"
3716,112709,"(3716, 112709)"
3716,22612,"(3716, 22612)"
3716,14569,"(3716, 14569)"
3716,2156933,"(3716, 2156933)"
3716,55618,"(3716, 55618)"
3716,6492,"(3716, 6492)"
3716,129468,"(3716, 129468)"
3716,383967,"(3716, 383967)"
3716,294109,"(3716, 294109)"
3716,23082,"(3716, 23082)"
3716,15647,"(3716, 15647)"
3716,114492,"(3716, 114492)"
3716,57213,"(3716, 57213)"
3896,12289,"(3896, 12289)"
3896,9164,"(3896, 9164)"
3896,25820,"(3896, 25820)"
3907,6147,"(3907, 6147)"
3907,8204,"(3907, 8204)"
3907,10266,"(3907, 10266)"
3907,10279,"(3907, 10279)"
3907,7727,"(3907, 7727)"
3907,8756,"(3907, 8756)"
3907,19535,"(3907, 19535)"
3907,8801,"(3907, 8801)"
3907,17291,"(3907, 17291)"
3907,12914,"(3907, 12914)"
3907,30846,"(3907, 30846)"
3907,27786,"(3907, 27786)"
3907,8850,"(3907, 8850)"
3907,24213,"(3907, 24213)"
3907,9381,"(3907, 9381)"
3907,8476,"(3907, 8476)"
3907,23728,"(3907, 23728)"
3907,6330,"(3907, 6330)"
3907,10434,"(3907, 10434)"
3907,22725,"(3907, 22725)"
3907,11979,"(3907, 11979)"
3907,14569,"(3907, 14569)"
3907,9963,"(3907, 9963)"
3907,17147,"(3907, 17147)"
3907,7552,"(3907, 7552)"
3907,7954,"(3907, 7954)"
3907,4313,"(3907, 4313)"
3907,13593,"(3907, 13593)"
3907,8480,"(3907, 8480)"
3907,37153,"(3907, 37153)"
3907,20162,"(3907, 20162)"
3907,20286,"(3907, 20286)"
3907,3908,"(3907, 3908)"
3907,16525,"(3907, 16525)"
3907,9062,"(3907, 9062)"
3907,8552,"(3907, 8552)"
3907,10601,"(3907, 10601)"
3907,13706,"(3907, 13706)"
3907,12171,"(3907, 12171)"
3907,4493,"(3907, 4493)"
3907,23439,"(3907, 23439)"
3907,11156,"(3907, 11156)"
3907,4000,"(3907, 4000)"
3907,26530,"(3907, 26530)"
3907,4004,"(3907, 4004)"
3907,11695,"(3907, 11695)"
3907,10910,"(3907, 10910)"
3907,9150,"(3907, 9150)"
3907,12237,"(3907, 12237)"
3907,5072,"(3907, 5072)"
3907,9170,"(3907, 9170)"
3907,9178,"(3907, 9178)"
3907,9385,"(3907, 9385)"
3907,9044,"(3907, 9044)"
3908,8221,"(3908, 8221)"
3908,12892,"(3908, 12892)"
3908,10803,"(3908, 10803)"
3908,11330,"(3908, 11330)"
3908,19535,"(3908, 19535)"
3908,8801,"(3908, 8801)"
3908,12914,"(3908, 12914)"
3908,30846,"(3908, 30846)"
3908,26752,"(3908, 26752)"
3908,27786,"(3908, 27786)"
3908,21644,"(3908, 21644)"
3908,16525,"(3908, 16525)"
3908,8850,"(3908, 8850)"
3908,839331,"(3908, 839331)"
3908,9385,"(3908, 9385)"
3908,23214,"(3908, 23214)"
3908,22233,"(3908, 22233)"
3908,22760,"(3908, 22760)"
3908,14569,"(3908, 14569)"
3908,9963,"(3908, 9963)"
3908,47858,"(3908, 47858)"
3908,134390,"(3908, 134390)"
3908,17147,"(3908, 17147)"
3908,7954,"(3908, 7954)"
3908,11037,"(3908, 11037)"
3908,15647,"(3908, 15647)"
3908,8480,"(3908, 8480)"
3908,213297,"(3908, 213297)"
3908,14666,"(3908, 14666)"
3908,8552,"(3908, 8552)"
3908,10601,"(3908, 10601)"
3908,17258,"(3908, 17258)"
3908,17291,"(3908, 17291)"
3908,93073,"(3908, 93073)"
3908,11156,"(3908, 11156)"
3908,29597,"(3908, 29597)"
3908,11695,"(3908, 11695)"
3908,9150,"(3908, 9150)"
3908,7105,"(3908, 7105)"
3908,140227,"(3908, 140227)"
3908,13304,"(3908, 13304)"
3908,103416,"(3908, 103416)"
3934,79276,"(3934, 79276)"
3934,231867,"(3934, 231867)"
3934,69156,"(3934, 69156)"
3934,79428,"(3934, 79428)"
3934,192088,"(3934, 192088)"
3934,235281,"(3934, 235281)"
3934,292650,"(3934, 292650)"
3934,69276,"(3934, 69276)"
3934,206010,"(3934, 206010)"
3934,12998,"(3934, 12998)"
3934,76242,"(3934, 76242)"
3934,91384,"(3934, 91384)"
3934,91387,"(3934, 91387)"
3934,232197,"(3934, 232197)"
3934,271142,"(3934, 271142)"
3934,13615,"(3934, 13615)"
3934,83524,"(3934, 83524)"
3934,6017,"(3934, 6017)"
3934,3970,"(3934, 3970)"
3934,72126,"(3934, 72126)"
3934,133080,"(3934, 133080)"
3934,319801,"(3934, 319801)"
3970,79428,"(3970, 79428)"
3970,235281,"(3970, 235281)"
3970,6017,"(3970, 6017)"
4000,7954,"(4000, 7954)"
4000,11156,"(4000, 11156)"
4000,16665,"(4000, 16665)"
4000,153895,"(4000, 153895)"
4000,213297,"(4000, 213297)"
4000,10803,"(4000, 10803)"
4000,14666,"(4000, 14666)"
4000,9164,"(4000, 9164)"
4000,13133,"(4000, 13133)"
4000,9170,"(4000, 9170)"
4000,8552,"(4000, 8552)"
4004,112709,"(4004, 112709)"
4246,98835,"(4246, 98835)"
4246,12603,"(4246, 12603)"
4246,30293,"(4246, 30293)"
4246,279018,"(4246, 279018)"
4257,108363,"(4257, 108363)"
4313,4493,"(4313, 4493)"
4313,8850,"(4313, 8850)"
4313,92563,"(4313, 92563)"
4313,131861,"(4313, 131861)"
4313,319801,"(4313, 319801)"
4313,4712,"(4313, 4712)"
4493,90176,"(4493, 90176)"
4493,26530,"(4493, 26530)"
4493,9381,"(4493, 9381)"
4493,44420,"(4493, 44420)"
4493,49538,"(4493, 49538)"
4493,26576,"(4493, 26576)"
4493,87554,"(4493, 87554)"
4493,10803,"(4493, 10803)"
4493,99162,"(4493, 99162)"
4493,17147,"(4493, 17147)"
4493,140227,"(4493, 140227)"
4574,71487,"(4574, 71487)"
