id,created_at,lng,lat,photos_count,checkins_count,users_count,radius_meters,highlights_count,items_count,max_items_count,spot_categories,distance_to_center
9207,2009-02-18T04:45:03Z,-87.6558351517,41.8891957606,2,172,121,50,0,13,10,"[{'url': '/categories/121', 'name': 'Corporate Office'}]",2.959474363517395
9816,2009-03-21T17:27:38Z,-87.6244479418,41.8971103352,30,595,490,50,8,10,10,"[{'url': '/categories/60', 'name': 'Other - Architecture'}]",1.9642450674571943
9831,2009-03-21T19:12:45Z,-87.6245713167,41.89177035,24,252,213,100,0,8,10,"[{'url': '/categories/445', 'name': 'LEGO Store'}]",1.3744280592554943
9871,2009-03-21T23:38:26Z,-87.6299840212,41.8836366032,7,129,105,50,0,10,10,"[{'url': '/categories/51', 'name': 'Sculpture'}]",0.7687645639505288
9883,2009-03-22T00:23:00Z,-87.6358687878,41.8788598144,77,1122,810,100,20,10,10,"[{'url': '/categories/23', 'name': 'Skyscraper'}]",1.105730816103419
9889,2009-03-22T01:10:42Z,-87.63545035,41.8778443333,17,164,144,75,5,6,10,"[{'url': '/categories/155', 'name': 'Pizza'}]",1.0845732911278878
9905,2009-03-22T15:35:01Z,-87.61360645,41.8927145,0,46,37,75,0,1,10,"[{'url': '/categories/60', 'name': 'Other - Architecture'}]",1.6447724258001002
9907,2009-03-22T15:43:34Z,-87.6074802876,41.8917036129,81,1134,887,100,30,10,10,"[{'url': '/categories/58', 'name': 'Other - Entertainment'}]",1.8425577276751988
9935,2009-03-22T20:49:01Z,-87.6444545388,41.9385440066,1,52,41,75,0,4,10,"[{'url': '/categories/193', 'name': 'Record Store'}]",6.810946989242449
9938,2009-03-22T21:07:51Z,-87.6498055333,41.94006085,0,79,33,75,0,5,10,"[{'url': '/categories/34', 'name': 'Thrift Store'}]",7.101687902457892
9939,2009-03-22T21:10:42Z,-87.65152215,41.9410586333,1,52,27,75,1,4,10,"[{'url': '/categories/96', 'name': 'Bookstore'}]",7.252693116596137
9943,2009-03-22T22:09:23Z,-87.61699675,41.8654847,65,648,582,150,4,10,10,"[{'url': '/categories/73', 'name': 'History Museum'}]",1.6249114895065766
9948,2009-03-22T22:33:31Z,-87.6166909933,41.8623379996,41,811,680,350,2,10,10,"[{'url': '/categories/79', 'name': 'Stadium'}]",1.9691225062452868
9952,2009-03-22T23:01:22Z,-87.6228868961,41.879578752,73,798,687,150,6,10,10,"[{'url': '/categories/50', 'name': 'Traditional Art Museum'}]",0.029864904344018294
9958,2009-03-23T00:51:30Z,-87.6446342333,41.9424319167,1,33,23,75,1,4,10,"[{'url': '/categories/18', 'name': 'Asian'}]",7.2323054929327375
9996,2009-03-23T16:39:28Z,-87.6146364167,41.8676090167,52,682,603,150,1,10,10,"[{'url': '/categories/76', 'name': 'Aquarium'}]",1.4755898272477517
10576,2009-04-04T03:39:51Z,-87.62439965,41.8762671833,4,151,78,300,2,9,10,"[{'url': '/categories/134', 'name': 'University'}]",0.391290619095229
10600,2009-04-04T15:48:11Z,-87.6239705,41.8578779667,1,68,37,75,0,3,10,"[{'url': '/categories/16', 'name': 'American'}]",2.4074604360877303
10601,2009-04-04T15:56:29Z,-87.6219964,41.8578565,1,25,18,100,0,2,10,"[{'url': '/categories/52', 'name': 'Modern Art Museum'}]",2.4073579729611914
10602,2009-04-04T16:00:32Z,-87.6221895167,41.8570840333,3,19,14,75,0,1,10,"[{'url': '/categories/60', 'name': 'Other - Architecture'}]",2.492999858688376
10605,2009-04-04T16:14:11Z,-87.6207733,41.8575882833,2,47,21,75,0,4,10,"[{'url': '/categories/60', 'name': 'Other - Architecture'}]",2.441152094348772
10608,2009-04-04T16:50:35Z,-87.6197648,41.8679738,3,102,87,50,0,7,10,"[{'url': '/categories/51', 'name': 'Sculpture'}]",1.3023879082829122
10610,2009-04-04T17:22:40Z,-87.61264085,41.8661284333,2,50,44,50,0,3,10,"[{'url': '/categories/51', 'name': 'Sculpture'}]",1.6980932685935124
10611,2009-04-04T17:30:16Z,-87.6104521667,41.8663108333,1,41,36,50,0,3,10,"[{'url': '/categories/51', 'name': 'Sculpture'}]",1.7758225993218573
10616,2009-04-04T17:40:28Z,-87.6067829132,41.8663969455,20,273,206,350,5,10,10,"[{'url': '/categories/213', 'name': 'Planetarium'}]",1.9560250819480107
10621,2009-04-04T18:07:47Z,-87.6245713167,41.8790245,2,101,76,75,0,10,10,"[{'url': '/categories/31', 'name': 'Performing Arts'}]",0.17629940426752289
10670,2009-04-05T17:06:42Z,-87.6524662833,41.836313,0,13,8,100,0,2,10,"[{'url': '/categories/22', 'name': 'Historic Church'}]",5.404250620757071
10987,2009-04-11T17:10:47Z,-87.6171684167,41.8911051667,3,120,91,75,1,7,10,"[{'url': '/categories/101', 'name': 'Sandwich Shop'}]",1.3646564501534817
10990,2009-04-11T17:28:40Z,-87.6205158167,41.8899035333,2,141,105,100,0,5,10,"[{'url': '/categories/23', 'name': 'Skyscraper'}]",1.1686198702865982
11044,2009-04-12T15:44:35Z,-87.8371953833,41.9655311,0,18,9,75,0,1,10,"[{'url': '/categories/106', 'name': 'Grocery'}]",20.171767063344905
