userid1,userid2,user_pair
2,131140,"(2, 131140)"
2,4,"(2, 4)"
2,7,"(2, 7)"
2,12,"(2, 12)"
2,932779,"(2, 932779)"
2,12309,"(2, 12309)"
2,25,"(2, 25)"
2,2735,"(2, 2735)"
2,29,"(2, 29)"
2,43,"(2, 43)"
2,60,"(2, 60)"
2,90464,"(2, 90464)"
2,100,"(2, 100)"
2,2163,"(2, 2163)"
2,120,"(2, 120)"
2,362,"(2, 362)"
2,10385,"(2, 10385)"
2,151,"(2, 151)"
2,164,"(2, 164)"
2,168,"(2, 168)"
2,196,"(2, 196)"
2,208,"(2, 208)"
2,6382,"(2, 6382)"
2,246,"(2, 246)"
2,12554,"(2, 12554)"
2,2094,"(2, 2094)"
2,147753,"(2, 147753)"
2,300,"(2, 300)"
2,327,"(2, 327)"
2,2377,"(2, 2377)"
2,335,"(2, 335)"
2,61797,"(2, 61797)"
2,359,"(2, 359)"
2,5182,"(2, 5182)"
2,385,"(2, 385)"
2,20925,"(2, 20925)"
2,456,"(2, 456)"
2,95310,"(2, 95310)"
2,215521,"(2, 215521)"
2,57826,"(2, 57826)"
2,495,"(2, 495)"
2,564,"(2, 564)"
2,2616,"(2, 2616)"
2,6716,"(2, 6716)"
2,57935,"(2, 57935)"
2,632,"(2, 632)"
2,2681,"(2, 2681)"
2,2684,"(2, 2684)"
2,2696,"(2, 2696)"
2,276595,"(2, 276595)"
2,2768,"(2, 2768)"
2,74473,"(2, 74473)"
2,273137,"(2, 273137)"
2,20947,"(2, 20947)"
2,262903,"(2, 262903)"
2,765,"(2, 765)"
2,17153,"(2, 17153)"
2,2126297,"(2, 2126297)"
2,2819,"(2, 2819)"
2,101146,"(2, 101146)"
2,801,"(2, 801)"
2,2864,"(2, 2864)"
2,825,"(2, 825)"
2,837,"(2, 837)"
2,876,"(2, 876)"
2,4975,"(2, 4975)"
2,361359,"(2, 361359)"
2,4933,"(2, 4933)"
2,7077,"(2, 7077)"
2,20978,"(2, 20978)"
2,943,"(2, 943)"
2,11205,"(2, 11205)"
2,3014,"(2, 3014)"
2,29639,"(2, 29639)"
2,7144,"(2, 7144)"
2,1016,"(2, 1016)"
2,1019,"(2, 1019)"
2,13146,"(2, 13146)"
2,3104,"(2, 3104)"
2,66595,"(2, 66595)"
2,860,"(2, 860)"
2,60462,"(2, 60462)"
2,3125,"(2, 3125)"
2,19534,"(2, 19534)"
2,107646,"(2, 107646)"
2,97410,"(2, 97410)"
2,1163,"(2, 1163)"
2,25818,"(2, 25818)"
2,3328,"(2, 3328)"
2,12503,"(2, 12503)"
2,5388,"(2, 5388)"
2,129923,"(2, 129923)"
2,15645,"(2, 15645)"
2,11575,"(2, 11575)"
2,1343,"(2, 1343)"
2,11835,"(2, 11835)"
2,15716,"(2, 15716)"
2,135740,"(2, 135740)"
2,21901,"(2, 21901)"
2,390550,"(2, 390550)"
2,3482,"(2, 3482)"
2,1456,"(2, 1456)"
2,3508,"(2, 3508)"
2,13800,"(2, 13800)"
2,11755,"(2, 11755)"
2,6400,"(2, 6400)"
2,5035,"(2, 5035)"
2,1295876,"(2, 1295876)"
2,3676,"(2, 3676)"
2,108126,"(2, 108126)"
2,1602,"(2, 1602)"
2,5707,"(2, 5707)"
2,73295,"(2, 73295)"
2,11862,"(2, 11862)"
2,1628,"(2, 1628)"
2,9823,"(2, 9823)"
2,1639,"(2, 1639)"
2,3007,"(2, 3007)"
2,15996,"(2, 15996)"
2,61704,"(2, 61704)"
2,3716,"(2, 3716)"
2,1696,"(2, 1696)"
2,1699,"(2, 1699)"
2,7874,"(2, 7874)"
2,7902,"(2, 7902)"
2,22482,"(2, 22482)"
2,12025,"(2, 12025)"
2,50940,"(2, 50940)"
2,3848,"(2, 3848)"
2,110388,"(2, 110388)"
2,22348,"(2, 22348)"
2,1873,"(2, 1873)"
2,143194,"(2, 143194)"
2,167810,"(2, 167810)"
2,6019,"(2, 6019)"
2,6033,"(2, 6033)"
2,26523,"(2, 26523)"
2,4013,"(2, 4013)"
2,6814,"(2, 6814)"
2,53175,"(2, 53175)"
2,139206,"(2, 139206)"
2,337872,"(2, 337872)"
4,7,"(4, 7)"
4,12,"(4, 12)"
4,25,"(4, 25)"
4,29,"(4, 29)"
4,3104,"(4, 3104)"
4,43,"(4, 43)"
4,564,"(4, 564)"
4,61015,"(4, 61015)"
4,97410,"(4, 97410)"
4,2696,"(4, 2696)"
4,149,"(4, 149)"
4,150687,"(4, 150687)"
4,1699,"(4, 1699)"
4,58032,"(4, 58032)"
4,208,"(4, 208)"
4,2616,"(4, 2616)"
4,6382,"(4, 6382)"
4,246,"(4, 246)"
4,262903,"(4, 262903)"
4,14074,"(4, 14074)"
4,765,"(4, 765)"
4,61704,"(4, 61704)"
4,101146,"(4, 101146)"
4,837,"(4, 837)"
4,327,"(4, 327)"
4,1873,"(4, 1873)"
4,4975,"(4, 4975)"
4,26523,"(4, 26523)"
4,13800,"(4, 13800)"
4,1025015,"(4, 1025015)"
4,26623,"(4, 26623)"
7,12,"(7, 12)"
7,5646,"(7, 5646)"
7,25,"(7, 25)"
